##Data are provided by Nanjing Municipal Tourism Commission, http://www.nju.gov.cn/,

Date	#Visitors
20170415	15502
20170416	8890
20170417	5216
20170418	7076
20170419	6496
20170420	5548
20170421	7638
20170422	14562
20170423	14366
20170424	4630
20170425	4882
20170426	4914
20170427	6454
20170428	6326
20170429	16424
20170430	22540
20170501	18444
20170502	2680
20170503	5116
20170504	3428
20170505	5116
20170506	11212
20170507	10848
20170508	2846
20170509	4160
20170510	5098
20170511	5254
20170512	4938
20170513	8072
20170514	10142
20170515	4104
20170516	4756
20170517	4394
20170518	4312
20170519	14178
20170520	7582
20170521	7988
20170522	3710
20170523	1506
20170524	2578
20170525	2680
20170526	4564
20170527	4802
20170528	8468
20170529	12078
20170530	9740
20170531	3808
20170601	4834
20170602	4036
20170603	6260
20170604	8188
20170605	2402
20170606	3058
20170607	3972
20170608	3902
20170609	3886
20170610	2238
20170611	6948
20170612	4188
20170613	4494
20170614	4370
20170615	4630
